   6802   0.0505     9.08     0.13    -0.75     0.10         1
   6816   0.0764     9.01     0.15    -0.18     0.09         2
   6826   0.0728    10.00     0.12     0.01     0.06         1
   6837   0.0743     9.79     0.12    -0.59     0.53         1
   6838   0.0746     9.40     0.11    -0.73     0.22         1
   6846   0.0753     9.90     0.12    -0.30     0.12         1
   6906   0.0770    10.66     0.11    -0.19     0.13         2
   6956   0.0746    10.04     0.12     0.10     0.09         1
   6964   0.0754    10.49     0.15    -2.10     0.52         1
   6967   0.0748     9.67     0.11    -1.92     0.48         2
   6974   0.0738    10.64     0.11    -0.71     0.07         2
   6975   0.0753     9.89     0.11    -0.82     0.10         2
   7001   0.0751    10.07     0.12    -2.42     0.38        -9
   7002   0.0750     9.46     0.12    -0.49     0.31         1
   7060   0.0776     9.29     0.13    -0.20     0.35         1
   7104   0.0751    10.13     0.12    -0.12     0.08         1
   7130   0.0756    10.15     0.29    -1.18     0.30         1
   7135   0.0636     9.07     0.14    -0.62     0.15         1
   7139   0.0757    10.77     0.10    -1.79     0.43         2
   7376   0.0766    10.25     0.11    -0.46     0.09         1
   7434   0.0781     9.47     0.13    -0.51     0.39         1
   7511   0.0594     9.01     0.13    -0.92     0.19         2
   7518   0.0640     9.16     0.13    -0.75     0.13         1
   7551   0.0084     7.20     0.13    -2.45     0.75         1
   7554   0.0782    10.80     0.12     0.34     0.08         1
   7565   0.0790    10.74     0.11    -0.65     0.38         2
   7567   0.0763    10.22     0.12     0.28     0.06         2
   7592   0.0488     8.74     0.13    -0.57     0.13         1
   7623   0.0518     9.70     0.12    -0.26     0.09         1
   7688   0.0324     8.79     0.13    -1.03     0.09         1
   7703   0.0780    10.91     0.11    -1.30     0.23         2
   7711   0.0766     9.26     0.13    -0.54     0.38         1
   7715   0.0780    11.00     0.11    -1.29     0.19         2
   7742   0.0765    10.20     0.10    -2.08     0.40         2
   7749   0.0779     9.71     0.12    -0.76     0.12         2
   7765   0.0622    10.20     0.12     0.16     0.02         1
   7793   0.0776    10.63     0.12    -0.21     0.08         2
   7796   0.0467     8.68     0.13    -1.72     0.35         1
   7797   0.0468     9.76     0.13    -1.07     0.10         2
   7802   0.0467     9.15     0.12    -0.48     0.24         1
   7804   0.0652     9.89     0.13     0.18     0.19         1
   7839   0.0475    11.04     0.11    -1.27     0.35         2
   7840   0.0474    10.65     0.10    -1.88     0.29         2
   7841   0.0785    10.93     0.12    -1.86     0.34         2
   7846   0.0651    10.57     0.11    -1.49     0.30         2
   7848   0.0394   -99.00   -99.00    -1.11     0.09        -9
   7849   0.0780   -99.00   -99.00     0.75     0.03        -9
   7850   0.0783   -99.00   -99.00    -1.34     0.52        -9
   7852   0.0618     9.14     0.14    -1.20     0.37         1
   7856   0.0771    10.00     0.12     0.29     0.07         1
   7913   0.0758    10.44     0.12     0.32     0.08         1
   7921   0.0621    10.07     0.12    -0.49     0.09         2
   8033   0.0784    10.21     0.13     0.36     0.06         1
   8045   0.0784     9.98     0.12    -0.41     0.09         1
   8075   0.0783    10.85     0.11    -1.11     0.06         2
   8165   0.0786     9.85     0.11    -0.61     0.12         1
   8184   0.0775     9.55     0.12    -0.37     0.10         1
   8217   0.0098     8.42     0.12    -1.78     0.35         1
   8241   0.0779    10.09     0.14    -0.05     0.19         1
   8268   0.0781     9.18     0.13    -0.35     0.10         1
   8335   0.0784     9.41     0.13    -0.37     0.33         1
   8345   0.0775     9.32     0.15    -0.70     0.15         1
   8353   0.0197     9.33     0.11    -0.54     0.03         1
   8388   0.0785    10.32     0.12    -1.92     0.38         2
   8391   0.0207     8.83     0.12    -2.97     0.56         2
   8404   0.0189     8.76     0.12    -2.84     0.53         2
   8450   0.0214     9.55     0.11    -3.35     0.00         2
   8455   0.0786    10.14     0.12    -8.00     0.00         1
   8485   0.0200     9.21     0.12    -1.75     0.57         2
   8487   0.0202    10.58     0.12    -1.97     0.36         2
   8488   0.0200     9.51     0.10    -3.23     0.39         2
   8490   0.0203     8.86     0.12    -3.10     0.65         2
   8527   0.0793     9.71     0.11     0.36     0.08         1
   8536   0.0786     9.60     0.12    -1.94     0.51         2
   8540   0.0781    10.04     0.11    -2.24     0.40         2
   8562   0.0208     8.36     0.15    -1.56     0.15         1
   8570   0.0212     9.20     0.13    -0.83     0.06         1
   8677   0.0501     9.35     0.13    -0.80     0.16         1
   8703   0.0205    10.37     0.13    -0.06     0.03         1
   8706   0.0208     9.99     0.11    -0.30     0.06         1
   8709   0.0746    10.30     0.12     0.37     0.05         1
   8805   0.0752     9.02     0.11    -0.15     0.19         1
   8812   0.0748     9.99     0.12    -1.65     0.47         2
   8813   0.0749     9.36     0.11    -0.37     0.15         1
   8823   0.0503     8.94     0.12    -0.68     0.09         1
   8825   0.0790     9.55     0.13    -0.34     0.18         1
   8853   0.0725     9.38     0.13    -0.80     0.13         2
   8865   0.0731    10.65     0.10    -1.44     0.24         2
   8866   0.0649     9.49     0.13    -0.63     0.10         1
   8871   0.0738     9.60     0.13    -0.28     0.47         1
   8913   0.0288     8.69     0.13    -1.88     1.47         1
   8957   0.0737     9.90     0.12    -0.01     0.08         1
   8958   0.0787     9.33     0.13    -0.07     0.08         1
   8975   0.0785    10.03     0.13     0.14     0.23         1
   8986   0.0762     9.19     0.12    -0.30     0.11         1
   8990   0.0701    10.06     0.13     0.04     0.07         1
   8991   0.0648     9.33     0.12    -0.29     0.13         1
   8993   0.0643     9.97     0.11    -2.25     0.56         2
   8999   0.0778    10.08     0.12    -0.03     0.11         1
   9000   0.0481     8.98     0.11    -0.28     0.54         1
   9010   0.0731     9.21     0.14    -0.24     0.10         1
   9032   0.0638    10.29     0.10    -1.29     0.33         2
   9036   0.0776    10.28     0.12     0.07     0.12         1
   9061   0.0482     9.47     0.13     0.16     0.06         1
   9062   0.0217    10.27     0.12    -2.89     0.02         2
   9064   0.0214     9.12     0.12    -2.24     0.54         1
   9067   0.0336     9.44     0.13    -0.53     0.01         1
   9070   0.0795     9.70     0.14    -0.06     0.10         1
   9071   0.0794     9.61     0.13    -0.39     0.18         2
   9112   0.0417     9.44     0.12    -0.35     0.08         1
   9115   0.0338     9.06     0.13    -0.97     0.00         1
   9125   0.0757     9.48     0.12    -0.14     0.16         1
   9162   0.0753     8.84     0.14    -0.21     0.23         1
   9163   0.0071     9.15     0.13    -0.91     0.04         1
   9258   0.0420    10.49     0.11    -2.44     0.27         2
   9278   0.0630    10.12     0.12    -0.03     0.08         1
   9317   0.0737     9.72     0.12    -0.50     0.08         2
   9321   0.0741    10.78     0.10    -0.65     0.55        -9
   9322   0.0745    10.57     0.11    -0.02     0.30        -9
   9323   0.0728    10.26     0.12    -1.09     0.33        -9
   9324   0.0742    10.24     0.11    -1.82     0.38         2
   9326   0.0631     8.94     0.14    -0.21     0.61         1
   9342   0.0736     9.69     0.12    -0.61     0.36         1
